PostalCode,Neighborhood
H1A,Pointe-Aux-Trembles
H2A,Saint-Michel East
H3A,Downtown Montreal North
H4A,McGill University
H5A,Notre-Dame-de-Grâce Northeast
H7A,Place Bonaventure
H9A,Duvernay-Est
H1B,Ormeaux Northwest
H2B,Montreal East
H3B,Ahuntsic North
H4B,Downtown Montreal East
H5B,Notre-Dame-de-Grâce Southwest
H7B,Place Desjardins
H9B,Saint-FranÃ§ois
H1C,Ormeaux East
H2C,Rivière-des-Prairies Northeast
H3C,Ahuntsic Central
H4C,Griffintown
H7C,NaN
H9C,NaN
H1E,NaN
H2E,Saint-Henri
H3E,Saint-Vincent-de-Paul
H4E,L'Île-Bizard Northeast
H7E,Riviere-des-Prairies Southwest
H9E,Villeray Northeast
H1G,L'Île-Des-Soeurs
H2G,Ville Emard
H3G,Duvernay
H4G,L'Île-Bizard Southwest
H7G,Montréal-Nord North
H9G,Petite-Patrie Northeast
H0H,Downtown Montreal Southeast
H1H,Concordia University
H2H,Verdun North
H3H,Pont-Viau
H4H,Dollard-des Southwest
H7H,NaN
H9H,Montreal-Nord South
H1J,Plateau Mont-Royal North
H2J,Downtown Montreal Southwest
H3J,Verdun South
H4J,Auteuil West
H7J,Sainte-Geneviève
H9J,Pierrefonds
H1K,Anjou West
H2K,Plateau Mont-Royal North Central
H3K,Petite-Bourgogne
H4K,Cartierville Central
H7K,Auteuil Northeast
H9K,Kirkland
H1L,Anjou East
H2L,Centre-Sud North
H3L,Point-Saint-Charles
H4L,Cartierville Southwest
H7L,Auteuil South
H0M,Senneville
H1M,Mercier North
H2M,Centre-Sud South
H3M,Ahuntsic Southwest
H4M,Saint-Laurent Northeast
H7M,Sainte-Rose
H1N,Akwesasne
H2N,Mercier West
H3N,Ahuntsic East
H4N,Cartierville Northeast
H7N,Saint-Laurent East
H8N,Vimont
H0P,Mercier Southeast
H1P,Ahuntsic Southeast
H2P,Parc-Extension
H3P,Saint-Laurent Outer Northeast
H4P,Laval-des-Rapides
H7P,LaSalle Northwest
H8P,Saint-LÃ©onard North
H9P,Villeray West
H1R,Mount Royal North
H2R,Mount Royal South
H3R,Fabreville
H4R,LaSalle Southeast
H7R,Dorval Outskirts
H8R,Saint-Léonard West
H9R,Villeray Southeast
H1S,Mount Royal Central
H2S, Saint-Laurent Central
H3S,Laval-sur-le-Lac
H4S,Ville Saint-Pierre
H7S,LaSalle West
H8S,Pointe-Claire
H9S,Saint-Léonard Southeast
H1T,Petite-Patrie Southwest
H2T,Côte-des-Neiges North
H3T,Saint-Laurent Southwest
H4T,Chomedey Northeast
H7T,Lachine East
H8T,Dorval
H1V,L'Île-Dorval
H2V,Rosemont North
H3V,Plateau Mont-Royal West
H4V,Côte-des-Neiges Northeast
H7V,Saint-Laurent Southeast
H1W,Chomedey Northwest
H2W,Lachine West
H3W,Maisonneuve
H4W,Outremont
H7W,Côte-des-Neiges East
H9W,Côte Saint-Luc East
H1X,Chomedey East
H2X,Hochelaga
H3X,Plateau Mont-Royal South Central
H4X,Côte-des-Neiges Southwest
H7X,Côte Saint-Luc West
H9X,Chomedey South
H1Y,Beaconsfield
H2Y,Rosemont Central
H3Y,Plateau Mont-Royal Southeast
H4Y,Hampstead
H7Y,Côte Saint-Luc
H8Y,Montreal West
H1Z,Sainte-Dorothée
H2Z,Sainte-Anne-De
H3Z,Rosemont South
H4Z,Old Montreal
H8Z,Westmount North
